title,authors,publisher,publishedDate,description,genre,pageCount,averageRating,review_count,price,currency,language,popularity_score
The Indian Novel with a Social Purpose,"K. Venkata Reddy, P. Bayapa Reddy",Atlantic Publishers & Dist,1999,"The Present Book Seeks To Bring Out The Contours Of The Indian Novel With A Social Purpose Which Has Stuck Deep Roots In The Indian Soil By Imaginatively Treating The Contemporary Problems And Artistically Exploring And Interpreting India In All Its Variegated Aspects. It Shows How The Indian English Novelists, Who Are Inspired By The Vision Of A Just Social Order Portray Powerfully The Real Grandeur Of The Poor And The Down-Trodden And Their Yearning For A Just, Humane Indian Polity.Divided Into Two Parts, The Book Covers Both The Indian Novels Originally Written In English And The Indian Novels Originally Written In Regional Languages And Translated Into English. If The First Group Of The Novels Depicts The Political, Economic And Social Oppression Of The Individual The Second Group Centers On The Individual'S Search For Identity. This Book Is Expected To Be Of Considerable Interest And Use To The Teachers As Well As The Students Of Indian English Fiction.",Indic fiction (English),252.0,0.0,0.0,0.0,Unknown,en,0.0
A Companion to Indian Fiction in English,Pier Paolo Piciucco,Atlantic Publishers & Dist,2004,"After The Pioneer Works By Scholars Such As Naik, Narasimhaiah And Mukherjee, And The Thirty Years Of Silence Which Followed Their Ground-Breaking Achievements, The Companion Appears On The Scene Striving To Reinvigorate The Tradition Of Panoramic Studies Of Indian Literature In English. In The Intervening Period, Indian Fiction In English Has Become Of Paramount Importance In The Wide Context Of Postcolonial Studies: An Emergent Crop Of Novelists Belonging To The So-Called New Generation Has Colourfully Paved The Way Towards New Artistic Horizons, Re-Interpreting Western-Derived Literary Models With Inventive Approaches. Complementary To Their Role There Is The Articulate Presence Of A Host Of Indian Scholars Who In Recent Years Have Significantly Influenced The Course Of This Analysis And Have Vitally Contributed To Enlarging Its Scope Well Beyond The Original Boundaries Of Studies In Literary Criticism.The Companion, Therefore, Addresses The Exigencies Of Critics, Teachers And Students Alike All Those Who Need To Find Quick Points Of Reference In This Wide Field Of Studies By Relying On A Team Of Authoritative Collaborators And Specialists From All Over The World. Great Care Was Taken Not Only In Selecting Collaborators On The Basis Of Their Specialisation But Also Taking Into Account Their Cultural Background In Relation To The Author They Were To Discuss. The Book In Fact Has Been Organised To Have What Have Been Deemed To Be The Most Representative Authors In Indian Fiction Discussed In An Essay-Long Chapter Each, Structured To Highlight Crucial Points Such As Biographical Details, Novels And Critical Reception. Each Chapter Includes A Final Bibliography Complete With Primary And Secondary Sources, Enabling The Scholar To Have Immediate Orientation On Various Specific Topics. Finally, The Book Has An Innovative Section, With Synopses Of Novels, Planned To Allow Our Readers To Immediately Place The Authors Analysed Within The Panorama Of Indian Fiction In English. The Over 400 Synopses Included Principally Introduce Works Written By The Novelists Discussed At Length In The Previous Chapters But, Along With Them, It Is Also Possible To Find Summaries Of Works By Authors Who, Although Contributing In A Significant Way To The Development Of Forms And Techniques, Do Not Feature In The First Part.",Indic fiction (English),454.0,0.0,0.0,0.0,Unknown,en,0.0
A History of the Indian Novel in English,Ulka Anjaria,Cambridge University Press,2015-07-08,"A History of the Indian Novel in English traces the development of the Indian novel from its beginnings in the late nineteenth century up until the present day. Beginning with an extensive introduction that charts important theoretical contributions to the field, this History includes extensive essays that shed light on the legacy of English in Indian writing. Organized thematically, these essays examine how English was 'made Indian' by writers who used the language to address specifically Indian concerns. Such concerns revolved around the question of what it means to be modern as well as how the novel could be used for anti-colonial activism. By the 1980s, the Indian novel in English was a global phenomenon, and India is now the third largest publisher of English-language books. Written by a host of leading scholars, this History invites readers to question conventional accounts of India's literary history.",Literary Criticism,449.0,0.0,0.0,151.0,USD,en,0.0
An Annotated Bibliography of Indian English Fiction,,Atlantic Publishers & Dist,2001,"Endeavouring To Accomplish An Intract-Able Tight Rope Walking, Indian English Literature Seeks To Incorporate Indian Themes And Experience In A Blend Of Indian And Western Aesthetics. What The Diverse Dimensions Of The Indian Experience And The Evolving Literary Form Are And Whether The Former Reconciles With The Latter Or Not Is Sought To Be Examined In The Present Volume Of This Anthology. A Strikingly Fresh Perspective On The Hitherto Unexplored Areas Of Old Works. A Bold And Incisive Critique Of New Works.",Anglo-Indian fiction,492.0,5.0,1.0,0.0,Unknown,en,5.0
Ecofeminism and the Indian Novel,Sangita Patil,Routledge,2019-07-08,"Ecofeminism and the Indian Novel tests the theories of ecofeminism against the background of India’s often different perceptions of environmental problems, challenging the hegemony of Western culture in thinking about human problems. This book moves beyond a simple application of the concepts of ecofeminism, instead explaining the uniqueness of Indian novels as narratives of ecofeminism and how they can contribute to the development of the theory of ecofeminism. In examining a selection of novels, the author argues that Indian texts conceptualize the ecological crisis more as a human problem than as a gender problem. The book proposes that we should think of ecofeminism as ecohumanism instead, seeing human beings and nature as a part of a complex web. Novels analysed within the text include Kamala Markandaya’s Nectar in a Sieve (1954), Shivram Karanth’s Return to Earth (2002) and Na D’Souza’s Dweepa (2013). Ecofeminism and the Indian Novel will be of great interest to students and scholars of ecofeminism, ecocriticism, ecological feminism, environmental humanities, gender studies, ecological humanities, feminist studies and Indian literature.",Literary Criticism,161.0,0.0,0.0,59.99,USD,en,0.0
Encyclopaedia of Great Indian Novels and Novelists,Ravi Narayan Pandey,Unknown,2008,Unknown,Indic fiction,264.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Fiction in English,"P. Mallikarjuna Rao, Mittapalli Rajeshwar",Atlantic Publishers & Dist,1999,"Indian Fiction In English Now Enjoys A Major Presence Across The World. From Its Humble Beginnings In The Thirties It Has Come A Long Way To Emerge As A Serious Contender To Some Of The Most Coveted Literary Prizes In The World. In Terms Of Popularity And Market Presence It Has Experienced Phenomenal Success In The Recent Years. While It Behoves Well To Celebrate Its Success And Revel In Its Glory, We Should Also Stop To Enquire Into Its Strengths And Weaknesses, Its Achievements And Failures And Its Present Status And Future Prospects Standing As We Do On The Threshold Of The Twenty First Century. The Underlying Purpose Of Indian Fiction In English, Therefore, Is To Attempt A Fairly Comprehensive Turn Of The Century Stocktaking Of Indian Fiction In English.The Anthology Puts Together Incisive And Highly Rated Articles On Almost All The Important Indian Novelists In English. Starting With The Three Pioneers, Namely Mulk Raj Anand, R.K. Narayan And Raja Rao, It Goes On To Include Perceptive And Analytical Articles On The Second Generation Novelists Such As Manohar Malgonkar, Bhabani Bhattacharya, Arun Joshi, Anita Desai, Ruth Prawer Jhabvala, Kamala Markandaya And Nayantara Sahgal And Finally, It Attempts An Assessment Of The Relatively Recent Entrants Into The Field Like Salman Rushdie, Amitav Ghosh, Bharati Mukherjee, Rukun Advani And Boman Desai.Among The Contributors Are Some Of The Most Respected Scholars In The Field Of English Studies In India: K.K Sharma, Saros Cowasjee, Alastair Niven, H.H. Anniah Gowda, G.S. Amur, Ayyappa Paniker, M. Sivaramkrishana, Vasanth A. Shahane, Shiv K. Kumar And S. Krishna Sarma.",Indic fiction (English),324.0,0.0,0.0,0.0,Unknown,en,0.0
Major Indian Novels,Narindar S. Pradhan,"Atlantic Highlands, N.J. : Humanities Press",1986,Unknown,Literary Criticism,286.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Novel in English,Ram Sewak Singh,New Delhi : Arnold-Heinemann,1977,Unknown,Literary Criticism,216.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Fiction in English,Dr. R. S. Pathak,Unknown,1990,Unknown,Indic fiction (English),208.0,0.0,0.0,0.0,Unknown,en,0.0
The Great Indian Novel,Shashi Tharoor,Simon and Schuster,2011-09-01,"In this award-winning novel, Tharoor has masterfully recast the two-thousand-year-old epic, The Mahabharata, with fictional but highly recognizable events and characters from twentieth-century Indian politics. Nothing is sacred in this deliciously irreverent, witty, and deeply intelligent retelling of modern Indian history and the ancient Indian epic The Mahabharata. Alternately outrageous and instructive, hilarious and moving, it is a dazzling tapestry of prose and verse that satirically, but also poignantly, chronicles the struggle for Indian freedom and independence.",Fiction,626.0,0.0,0.0,0.0,Unknown,en,0.0
In the Kingdom of Kerry and Other Stories,Bithia Mary Croker,Unknown,1896,Unknown,English fiction,262.0,0.0,0.0,0.0,Unknown,en,0.0
The Novel of India: The Anglo-Indian novel,Stephen Ignatius Hemenway,"Calcutta : Writers Workshop ; [Thompson], Conn. : agents in the U.S., Inter Culture Associates",1975,On English novels about India; a study.,Fiction,188.0,0.0,0.0,0.0,Unknown,en,0.0
The Indian Magazine,,Unknown,1917,Unknown,India,248.0,0.0,0.0,0.0,Unknown,en,0.0
A Guide to British and American Novels,Percy Russell,Unknown,1895,Unknown,American fiction,348.0,0.0,0.0,0.0,Unknown,en,0.0
Rise of the Indian Novel in English,Maturam Rāmamūrtti,New Delhi : Sterling Publishers,1987,Unknown,Indic fiction (English),338.0,0.0,0.0,0.0,Unknown,en,0.0
The Complete Works of Bret Harte: Stories and Condensed novels. 1892,Bret Harte,Unknown,1892,Unknown,,528.0,0.0,0.0,0.0,Unknown,en,0.0
Gandhian Ideology and the Indian Novel,A. V. Subba Rayudu,Unknown,2000,"Mahatma Gandhi Has Been Regarded, By Common Consent, The Greatest Man Of The Twentieth Century. Major Writers Like Mulk Raj Anand, Raja Rao, Bhabai Bhattacharya, Manohar Malgonkar And Nayantara Sahgal Have Given Expression To Gandhian Thought And Philosophy In Their Fiction. The Present Book Examines The Impact Of Gandhi On Chaman Nahal, Eminent Contemporary Novelist And The Winner Of Prestigious Sahitya Akademi Award For His Novel Azadi.",Fiction,188.0,0.0,0.0,0.0,Unknown,en,0.0
"The Woman in Indian Fiction in English, 1950-80",Shantha Krishnaswamy,APH Publishing,1984,Unknown,English fiction,392.0,0.0,0.0,0.0,Unknown,en,0.0
The New Woman in Indian English Fiction,Sharad Srivastava,Creative Book Company (New Delhi),1996,Unknown,Literary Criticism,154.0,5.0,1.0,0.0,Unknown,en,5.0
Indian Review of Books,,Unknown,2000,Unknown,Books,610.0,0.0,0.0,0.0,Unknown,en,0.0
Libraries,Mary Eileen Ahern,Unknown,1926,Unknown,Libraries,622.0,0.0,0.0,0.0,Unknown,en,0.0
Indiana University Bulletin,,Unknown,1914,Unknown,,998.0,0.0,0.0,0.0,Unknown,en,0.0
"New Fishes from Western Colombia, Ecuador, and Peru","Carl H. Eigenmann, Arthur Wilbur Henn, Charles Henry Wilson",Unknown,1915,Unknown,Fishes,582.0,0.0,0.0,0.0,Unknown,en,0.0
Indiana University Studies,,Unknown,1914,Unknown,Science,64.0,0.0,0.0,0.0,Unknown,en,0.0
The Flood of 1913 in the Lower White River Region of Indiana,"Carl H. Eigenmann, Halbert Pleasant Bybee, Preston Albert Barba, Robert Josselyn Leonard, Arthur Wilbur Henn, Homer Glenn Fisher",Unknown,1915,Unknown,Comparative literature,418.0,0.0,0.0,0.0,Unknown,en,0.0
Studies,Indiana University,Unknown,1914,Unknown,,1390.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Books Today,,Unknown,1989,Unknown,Books,452.0,0.0,0.0,0.0,Unknown,en,0.0
"The Saturday Review of Politics, Literature, Science and Art",,Unknown,1879,Unknown,,998.0,5.0,1.0,0.0,Unknown,en,5.0
The Empire Review,,Unknown,1926,Unknown,Great Britain,632.0,0.0,0.0,0.0,Unknown,en,0.0
Studies in Contemporary Indian Fiction in English,Amar Nath Dwivedi,Unknown,1987,Unknown,Indic fiction (English),378.0,0.0,0.0,0.0,Unknown,en,0.0
Book News,,Unknown,1891,Unknown,American literature,874.0,0.0,0.0,0.0,Unknown,en,0.0
The Athenaeum,,Unknown,1906,Unknown,Arts,832.0,0.0,0.0,0.0,Unknown,en,0.0
Condensed novels: the two series complete. Fine-paper ed,Francis Bret Harte,Unknown,1903,Unknown,,264.0,0.0,0.0,0.0,Unknown,en,0.0
The Publisher,,Unknown,1909,Unknown,,1014.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Author,,Unknown,1994,Unknown,Authorship,122.0,0.0,0.0,0.0,Unknown,en,0.0
"Life and Work of Romesh Chunder Dutt, with an Introd. by His Highness the Maharaja of Baroda",Jnanendra Nath Gupta,Unknown,1911,Unknown,,568.0,0.0,0.0,0.0,Unknown,en,0.0
Library Journal,,Unknown,1897,Unknown,,822.0,0.0,0.0,0.0,Unknown,en,0.0
Papers and Proceedings of the ... General Meeting of the American Library Association,American Library Association,Unknown,1897,Unknown,Library administration,412.0,0.0,0.0,0.0,Unknown,en,0.0
Papers and Proceedings of the ... Annual Meeting of the American Library Association Held at ...,American Library Association. Meeting,Unknown,1896,Unknown,Library science,594.0,0.0,0.0,0.0,Unknown,en,0.0
The Asiatic Quarterly Review,,Unknown,1913,Unknown,Asia,920.0,0.0,0.0,0.0,Unknown,en,0.0
Asiatic Review,,Unknown,1913,"Beginning in 1895, includes the Proceedings of the East India Association.",Asia,914.0,0.0,0.0,0.0,Unknown,en,0.0
Asiatic Review,Demetrius Charles Boulger,Unknown,1913,"Beginning in 1895, includes the Proceedings of the East India Association.",Asia,910.0,0.0,0.0,0.0,Unknown,en,0.0
The Journal of Indian Writing in English,,Unknown,2003,Unknown,English literature,194.0,0.0,0.0,0.0,Unknown,en,0.0
The Gentleman's Magazine,,Unknown,1895,Unknown,Booksellers and bookselling,834.0,0.0,0.0,0.0,Unknown,en,0.0
The English Catalogue of Books,,Unknown,1882,Unknown,,582.0,0.0,0.0,0.0,Unknown,en,0.0
The English Catalogue of Books,Sampson Low,Unknown,1882,Vols. for 1898-1968 include a directory of publishers.,English imprints,582.0,0.0,0.0,0.0,Unknown,en,0.0
The Book Buyer,,Unknown,1894,Unknown,American literature,712.0,0.0,0.0,0.0,Unknown,en,0.0
Six Indian Novelists,A. V. Suresh Kumar,Unknown,1996,Unknown,Indic fiction (English),148.0,0.0,0.0,0.0,Unknown,en,0.0
"Captain Jack, the Chief of the Modocs",,Unknown,1873,Unknown,,106.0,0.0,0.0,0.0,Unknown,en,0.0
The English Catalogue of Books: v. [1]. 1835-1863,"Sampson Low, James Douglas Stewart",Unknown,1872,Unknown,English literature,576.0,0.0,0.0,0.0,Unknown,en,0.0
Writers of the Indian Diaspora,Emmanuel S. Nelson,Greenwood,1993-04-13,"The fifty-eight writers included in this new sourcebook have roots in India--or, less frequently, in Pakistan, Bangladesh, or Sri Lanka--but represent diverse geographical areas of the Indian Diaspora: from the South Pacific to South America, from the Indian Ocean islands of Mauritius and Singapore to the cities and suburbs of London, New York, Johannesburg, and Toronto. Their lives, works, themes, and critical receptions are examined individually but with attention to two central assumptions: that people of the Indian diaspora share a diasporic consciousness generated by a complex network of historical connections, spiritual affinities, and unifying racial memories, and that this shared sensibility is manifested in the cultural productions of the Indian diasporic communities around the world. These concepts, developed by Professor Nelson in a previous study, Reworlding: The Literature of the Indian Diaspora, are here applied to a larger canvas of writers, including major international figures such as V.S. Naipaul, and Salman Rushdie and talented emerging writers. The writers practice a variety of literary forms and represent a extraordinary diversity of ethnicities, languages, and religious traditions. The women among them contribute the perspective of gender along with the themes of ethnicity, migrancy, and post-coloniality shared with the male writers. Each entry begins with relevant biographical information on the writer, offers an interpretive summary of the major works, provides an overview of the critical reception accorded the corpus and individual productions, and concludes with detailed primary and secondary bibliographies. A brief appendix lists each writer with place of birth and places of domicile. The introduction to the volume, by Professor Nalini Natarajan, discusses several theoretical issues pertinent to Indian diasporic studies. Of value to all literary collections and scholars, this reference work will be of special interest for post-colonial and Commonwealth studies.",Literary Criticism,496.0,0.0,0.0,0.0,Unknown,en,0.0
The Asiatic Review,,Unknown,1923,Unknown,Asia,780.0,0.0,0.0,0.0,Unknown,en,0.0
The United States Catalog,,Unknown,1903,Unknown,American literature,2162.0,5.0,1.0,0.0,Unknown,en,5.0
Scribner's Magazine,"Robert Bridges, Alfred Sheppard Dashiell, Harlan Logan",Unknown,1899,Unknown,,1054.0,0.0,0.0,0.0,Unknown,en,0.0
British Books,,Unknown,1912,Unknown,Bibliography,864.0,0.0,0.0,0.0,Unknown,en,0.0
American Indian Fiction,Charles R. Larson,Albuquerque : University of New Mexico Press,1978,Traces the development of Native American fiction.,Literary Criticism,220.0,0.0,0.0,0.0,Unknown,en,0.0
New West Indian guide,,Unknown,1983,Unknown,Caribbean Area,876.0,0.0,0.0,0.0,Unknown,en,0.0
Children's Catalog,,Unknown,1909,Unknown,Children's literature,484.0,0.0,0.0,0.0,Unknown,en,0.0
A History of Indian Literature,Sisir Kumar Das,Unknown,1995,Unknown,Indic literature,1014.0,0.0,0.0,0.0,Unknown,en,0.0
Publisher and Bookseller,,Unknown,1875,"Vols. for 1871-76, 1913-14 include an extra number, The Christmas bookseller, separately paged and not included in the consecutive numbering of the regular series.",Bibliography,1544.0,0.0,0.0,0.0,Unknown,en,0.0
Rethinking Indian English Literature,"U. M. Nanavati, Prafulla C. Kar",Unknown,2000,"This Volume Of Essays Examines Some Of The Important Issues In Indian English Literature Emerging Both From Its Search For A New Sense Of Identity And Its Affiliation To A Global Perspective In The Wake Of Post Colonialism. The Essays Comprising This Volume Address Topics Such As Nation And Nationalism, Hybridization And Assimilation, Problems Of Exile And Migration, The Question Of Location And Boundaries And The Place Of Indian English Literature In The Changing Canon Of English Studies. By Focusing On The Shifting Paradigms Of Indian English Literature As A Part Of The Subtle Transformation Of The Global Configurations Of English, The Volume Attempts To Place The Genre Of This Writing Within A Broad Range Of Issues Stemming From The Peculiar And Problematic Role Of English As A Creative Medium Deployed In Various Ways In The Countries Which Were Once A Part Of The British Empire. For Illustrative Diagnostic Purposes Some Important Writers Like Salman Rushdie, Amitav Ghosh, Attia Hosain, Vikram Seth, Arundhati Roy Are Included In This Volume. But The Overall Focus Of This Volume Is Not On The Individual Writers Or Texts And Their Close Readings, But On Conceptual And Ideological Formations Of The Genre Of Indian English Literature And The Way It Has Entered The Canon Of English Studies In India Both In Its Contestatory And Collaborative Modes.",Indic literature (English),168.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Literature,,Unknown,2004,Unknown,Indic literature,704.0,0.0,0.0,0.0,Unknown,en,0.0
Public Opinion,,Unknown,1899,Unknown,,864.0,0.0,0.0,0.0,Unknown,en,0.0
Critical Response of Indian English Fiction,Shyam M. Asnani,Unknown,1985,Unknown,Indic fiction (English),176.0,0.0,0.0,0.0,Unknown,en,0.0
One Thousand Good Books for Children,Corinne Bacon,Unknown,1916,Unknown,"Children's literature, English",176.0,0.0,0.0,0.0,Unknown,en,0.0
School,,Unknown,1904,Unknown,Education,1012.0,0.0,0.0,0.0,Unknown,en,0.0
Indian Writing in English,,Unknown,1960,Unknown,Indian literature,28.0,0.0,0.0,0.0,Unknown,en,0.0
Indianness in Major Indo-English Novels,Samares C. Sanyal,Unknown,1984,Unknown,India,312.0,0.0,0.0,0.0,Unknown,en,0.0
The Calcutta Review,,Unknown,1908,Unknown,India,664.0,0.0,0.0,0.0,Unknown,en,0.0
Catalogue of the Liverpool Free Public Library ... Reference Department ...: Books received from Jan. 1871 to Dec. 1880,"Liverpool (England). Public Libraries, Museums, and Art Gallery",Unknown,1881,Unknown,"Catalogs, Dictionary",736.0,0.0,0.0,0.0,Unknown,en,0.0
